Year	Anomaly
199301	0.34
199302	0.39
199303	0.38
199304	0.36
199305	0.31
199306	0.32
199307	0.31
199308	0.11
199309	0.21
199310	0.22
199311	0.1
199312	0.18
199401	0.21
199402	0.06
199403	0.3
199404	0.41
199405	0.32
199406	0.43
199407	0.31
199408	0.26
199409	0.27
199410	0.45
199411	0.42
199412	0.4
199501	0.55
199502	0.77
199503	0.49
199504	0.51
199505	0.32
199506	0.49
199507	0.44
199508	0.5
199509	0.44
199510	0.44
199511	0.48
199512	0.32
199601	0.28
199602	0.49
199603	0.36
199604	0.37
199605	0.34
199606	0.37
199607	0.35
199608	0.43
199609	0.27
199610	0.17
199611	0.43
199612	0.38
199701	0.29
199702	0.39
199703	0.51
199704	0.41
199705	0.42
199706	0.56
199707	0.41
199708	0.47
199709	0.59
199710	0.68
199711	0.65
199712	0.59
199801	0.58
199802	0.83
199803	0.67
199804	0.7
199805	0.69
199806	0.76
199807	0.69
199808	0.68
199809	0.47
199810	0.43
199811	0.44
199812	0.58
199901	0.49
199902	0.63
199903	0.39
199904	0.36
199905	0.33
199906	0.37
199907	0.41
199908	0.33
199909	0.46
199910	0.37
199911	0.37
199912	0.47
200001	0.34
200002	0.57
200003	0.58
200004	0.61
200005	0.38
200006	0.36
200007	0.41
200008	0.45
200009	0.43
200010	0.33
200011	0.33
200012	0.3
200101	0.43
200102	0.46
200103	0.56
200104	0.55
200105	0.57
200106	0.54
200107	0.62
200108	0.48
200109	0.58
200110	0.47
200111	0.71
200112	0.63
200201	0.68
200202	0.7
200203	0.85
200204	0.56
200205	0.66
200206	0.53
200207	0.59
200208	0.53
200209	0.66
200210	0.56
200211	0.61
200212	0.5
200301	0.71
200302	0.57
200303	0.61
200304	0.6
200305	0.64
200306	0.52
200307	0.6
200308	0.59
200309	0.65
200310	0.77
200311	0.55
200312	0.75
200401	0.58
200402	0.67
200403	0.66
200404	0.65
200405	0.42
200406	0.47
200407	0.32
200408	0.44
200409	0.52
200410	0.6
200411	0.72
200412	0.49
200501	0.74
200502	0.62
200503	0.76
200504	0.7
200505	0.7
200506	0.66
200507	0.65
200508	0.59
200509	0.73
200510	0.75
200511	0.78
200512	0.74
200601	0.63
200602	0.8
200603	0.67
200604	0.52
200605	0.52
200606	0.65
200607	0.55
200608	0.72
200609	0.69
200610	0.68
200611	0.72
200612	0.77
200701	0.93
200702	0.72
200703	0.69
200704	0.8
200705	0.66
200706	0.57
200707	0.58
200708	0.58
200709	0.61
200710	0.61
200711	0.58
200712	0.52
200801	0.29
200802	0.35
200803	0.74
200804	0.52
200805	0.52
200806	0.51
200807	0.56
200808	0.48
200809	0.63
200810	0.69
200811	0.71
200812	0.57
200901	0.66
200902	0.52
200903	0.54
200904	0.59
200905	0.62
200906	0.64
200907	0.71
200908	0.71
200909	0.74
200910	0.69
200911	0.81
200912	0.7
201001	0.74
201002	0.82
201003	0.9
201004	0.89
201005	0.78
201006	0.7
201007	0.66
201008	0.66
201009	0.62
201010	0.67
201011	0.79
201012	0.52
201101	0.55
201102	0.51
201103	0.67
201104	0.65
201105	0.55
201106	0.63
201107	0.72
201108	0.7
201109	0.6
201110	0.71
201111	0.59
201112	0.61
201201	0.48
201202	0.54
201203	0.54
201204	0.75
201205	0.75
201206	0.66
201207	0.63
201208	0.65
201209	0.75
201210	0.78
201211	0.79
201212	0.56
201301	0.7
201302	0.62
201303	0.68
201304	0.57
201305	0.66
201306	0.67
201307	0.61
201308	0.7
201309	0.77
201310	0.68
201311	0.81
201312	0.72
201401	0.74
201402	0.57
201403	0.82
201404	0.85
201405	0.87
201406	0.72
201407	0.61
201408	0.82
201409	0.87
201410	0.81
201411	0.68
201412	0.79
201501	0.82
201502	0.89
201503	0.96
201504	0.8
201505	0.82
201506	0.87
201507	0.76
201508	0.83
201509	0.9
201510	1.1
201511	1.06
201512	1.13
201601	1.22
201602	1.33
201603	1.34
201604	1.14
201605	0.99
201606	0.83
201607	0.85
201608	0.96
201609	0.92
201610	0.88
201611	0.94
201612	0.9
201701	1.05
201702	1.11
201703	1.17
201704	0.97
201705	0.9
201706	0.77
201707	0.82
201708	0.88
201709	0.83
201710	0.92
201711	0.91
201712	0.98
201801	0.82
201802	0.89
201803	0.93
201804	0.89
201805	0.81
201806	0.75
201807	0.8
201808	0.75
201809	0.81
201810	1.05
201811	0.83
201812	0.93
201901	0.91
201902	0.91
201903	1.16
201904	1.02
201905	0.9
201906	0.9
201907	0.91
201908	0.91
201909	0.96
201910	1
201911	0.99
201912	1.09
202001	1.13
202002	1.19
202003	1.16
202004	1.13
202005	0.99
202006	0.92
202007	0.9
202008	0.89
202009	0.97
202010	0.9
202011	1.05
202012	0.83
202101	0.83
202102	0.66
202103	0.88
202104	0.79
202105	0.81
202106	0.85
202107	0.91
202108	0.83
202109	0.91
202110	0.99
202111	0.94
202112	0.86
202201	0.92
202202	0.91
202203	1.11
202204	0.89
202205	0.86
202206	0.89
202207	0.88
202208	0.92
202209	0.89
202210	0.96
202211	0.75
202212	0.84
